tab	magic_measurements
er_specimen_name	er_sample_name	er_site_name	er_location_name	magic_experiment_name	measurement_number	er_analyst_mail_names	measurement_sd_x	treatment_dc_field_theta	measurement_sd_z	treatment_dc_field	magic_instrument_codes	measurement_positions	measurement_dec	treatment_ac_field	measurement_csd	treatment_temp	measurement_magn_moment	magic_software_packages	treatment_dc_field_phi	measurement_description	measurement_temp	magic_method_codes	measurement_sd_y	measurement_standard	er_citation_names	measurement_inc	measurement_flag
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	1		1.35e-08		2.14e-09	0		1	37.2	0	2.3	273	3.93e-07	pmagpy-3.2.1			273	LT-NO:LP-DIR-T	8.63e-09		This study	-53.2	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	2		1.25e-08		2.78e-09	0		1	36.7	0	2.0	77	4.29e-07	pmagpy-3.2.1			273	LT-LT-Z:LP-DIR-T	7.51e-09		This study	-50.9	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	3		1.65e-08		3.42e-09	0		1	34.8	0	2.3	373.0	5.32e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	1.28e-08		This study	-48.5	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	4		2.39e-08		1.04e-08	0	hargrave 2014-10-22 15:53:24	1	029.3	0	3.0	423.0	6.71e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	2.34e-08		This study	-47.6	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	5		2.00e-08		7.42e-09	0	hargrave 2014-10-27 16:19:50	1	028.6	0	2.2	473.0	6.55e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	1.31e-08		This study	-47.3	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	6		1.81e-08		4.18e-09	0	hargrave 2014-10-28 13:42:19	1	028.5	0	3.1	523.0	5.27e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	2.17e-08		This study	-49.3	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	7		1.42e-08		2.98e-09	0	hargrave 2014-10-28 20:40:03	1	034.0	0	3.0	573.0	3.81e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	1.36e-08		This study	-52.8	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	8		7.58e-09		1.87e-09	0	hargrave 2014-10-29 20:53:02	1	040.3	0	2.0	623.0	2.40e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	3.67e-09		This study	-57.3	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	9		9.19e-09		1.36e-09	0	hargrave 2014-11-03 17:13:00	1	043.8	0	3.2	673.0	1.97e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	5.83e-09		This study	-58.4	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	10		5.82e-09		1.36e-09	0	hargrave 2014-11-04 12:03:42	1	046.8	0	2.1	698.0	1.78e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	2.86e-09		This study	-59.9	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	11		5.48e-09		8.90e-10	0	hargrave 2014-11-10 12:53:05	1	049.9	0	2.3	723.0	1.64e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	3.62e-09		This study	-61.0	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	12		3.62e-09		5.24e-10	0	hargrave 2014-11-10 22:11:56	1	053.3	0	1.7	748.0	1.52e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	2.88e-09		This study	-63.2	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	13		5.59e-09		1.20e-09	0	hargrave 2014-11-13 11:46:05	1	059.3	0	2.7	773.0	1.41e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	3.57e-09		This study	-64.0	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	14		3.75e-09		5.73e-10	0	hargrave 2014-11-17 17:26:46	1	064.8	0	1.7	788.0	1.33e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	1.35e-09		This study	-65.4	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	15		9.51e-10		6.38e-10	0	hargrave 2014-11-24 18:17:16	1	065.5	0	0.5	803.0	1.29e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	8.48e-10		This study	-66.0	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	16		1.06e-09		7.35e-10	0	hargrave 2014-12-01 16:59:18	1	069.9	0	0.5	818.0	1.28e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	7.81e-10		This study	-66.2	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	17		9.19e-10		8.68e-10	0	hargrave 2014-12-02 00:45:16	1	069.3	0	0.6	823.0	1.23e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	1.01e-09		This study	-66.0	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	18		1.51e-09		1.06e-09	0	hargrave 2014-12-05 13:40:46	1	075.0	0	0.8	828.0	1.18e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	9.15e-10		This study	-66.3	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	19		1.26e-09		2.61e-10	0	hargrave 2014-12-06 11:57:52	1	072.8	0	0.7	833.0	1.14e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	8.36e-10		This study	-66.7	g
Z35.1a	Z35.1	MGH1	Munich	Z35.1a:LP-DIR-T	20		1.12e-09		5.56e-10	0	hargrave 2014-12-08 15:18:37	1	080.1	0	0.6	838.0	1.10e-07	pmagpy-3.2.1			273	LT-T-Z:LP-DIR-T	6.62e-10		This study	-66.9	g
