Afghanistan	Kabul
Ägypten	Kairo
Albanien	Tirana
Algerien	Algier
Andorra	Andorra la Vella
Angola	Luanda
Antigua und Barbuda	St. John's
Äquatorialguinea	Malabo
Argentinien	Buenos Aires
Armenien	Eriwan
Aserbaidschan	Baku
Äthiopien	Addis Abeba
Australien	Canberra
Bahamas	Nassau
Bahrain	Manama
Bangladesch	Dhaka
Barbados	Bridgetown
Belgien	Brüssel
Belize	Belmopan
Benin	Porto-Novo
Bhutan	Thimphu
Bolivien	Sucre
Bosnien und Herzegowina	Sarajevo
Botsuana	Gaborone
Brasilien	Brasilia
Brunei	Bandar Seri Begawan
Bulgarien	Sofia
Burkina Faso	Ouagadougou
Burundi	Bujumbura
Chile	Santiago
China	Peking
Costa Rica	San Jose
Dänemark	Kopenhagen
Deutschland	Berlin
Dominica	Roseau
Dominikanische Republik	Santo Domingo
Dschibuti	Dschibuti
Ecuador	Quito
Elfenbeinküste	Yamoussoukro
El Salvador	San Salvador
Eritrea	Asmara
Estland	Tallinn
Fidschi	Suva
Finnland	Helsinki
Frankreich	Paris
Gabun	Libreville
Gambia	Banjul
Georgien	Tiflis
Ghana	Accra
Grenada	St. George's
Griechenland	Athen
Guatemala	Guatemala-Stadt
Guinea	Conakry
Guinea-Bissau	Bissau
Guyana	Georgetown
Haiti	Port-au-Prince
Honduras	Tegucigalpa
Indien	Neu-Delhi
Indonesien	Jakarta
Irak	Bagdad
Iran	Teheran
Irland	Dublin
Island	Reykjavik
Israel	Jerusalem
Italien	Rom
Jamaika	Kingston
Japan	Tokio
Jemen	Sanaa
Jordanien	Amman
Kambodscha	Phnom Penh
Kamerun	Jaunde
Kanada	Ottawa
Kap Verde	Praia
Kasachstan	Astana
Katar	Doha
Kenia	Nairobi
Kirgisistan	Bischkek
Kiribati	Bairiki
Kolumbien	Bogota
Komoren	Moroni
Kongo, Demokratische Republik	Kinshasa
Kongo, Republik	Brazzaville
Kroatien	Zagreb
Kuba	Havanna
Kuwait	Kuwait
Laos	Vientiane
Lesotho	Maseru
Lettland	Riga
Libanon	Beirut
Liberia	Monrovia
Libyen	Tripolis
Liechtenstein	Vaduz
Litauen	Vilnius
Luxemburg	Luxemburg
Madagaskar	Antananarivo
Malawi	Lilongwe
Malaysia	Kuala Lumpur
Malediven	Male
Mali	Bamako
Malta	Valletta
Marokko	Rabat
Marshallinseln	Delap-Uliga-Darrit
Mauretanien	Nouakchott
Mauritius	Port Louis
Mazedonien	Skopje
Mexiko	Mexiko-Stadt
Mikronesien, Föderierte Staaten von	Kolonia
Moldawien	Chisinau
Monaco	Monaco
Mongolei	Ulaanbaatar
Montenegro	Podgorica
Mosambik	Maputo
Myanmar	Pyinmana
Namibia	Windhuk
Nauru	Yaren
Nepal	Kathmandu
Neuseeland	Wellington
Nicaragua	Managua
Niederlande	Amsterdam
Niger	Niamey
Nigeria	Abuja
Nordkorea	Pjöngjang
Norwegen	Oslo
Oman	Maskat
Österreich	Wien
Pakistan	Islamabad
Palau	Koror
Panama	Panama-Stadt
Papua-Neuguinea	Port Moresby
Paraguay	Asuncion
Peru	Lima
Philippinen	Manila
Polen	Warschau
Portugal	Lissabon
Rumänien	Bukarest
Russland	Moskau
Ruanda	Kigali
Salomonen	Honiara
Sambia	Lusaka
Samoa	Apia
San Marino	San Marino
São Tomé und Principe	Sao Tome
Saudi-Arabien	Riad
Schweden	Stockholm
Schweiz	Bern
Senegal	Dakar
Serbien	Belgrad
Seychellen	Victoria
Sierra Leone	Freetown
Simbabwe	Harare
Singapur	Singapur
Slowakei	Bratislava
Slowenien	Ljubljana
Somalia	Mogadischu
Spanien	Madrid
Sri Lanka	Colombo
St. Kitts und Nevis	Basseterre
St. Lucia	Castries
St. Vincent und die Grenadinen	Kingstown
Südafrika	Pretoria
Sudan	Khartum
Südkorea	Seoul
Suriname	Paramaribo
Swasiland	Mbabane
Syrien	Damaskus
Tadschikistan	Duschanbe
Taiwan	Taipeh
Tansania	Dodoma
Thailand	Bangkok
Ost-Timor	Dili
Togo	Lome
Tonga	Nuku'alofa
Trinidad und Tobago	Port-of-Spain
Tschad	N'Djamena
Tschechien	Prag
Tunesien	Tunis
Türkei	Ankara
Turkmenistan	Aschgabat
Tuvalu	Funafuti
Uganda	Kampala
Ukraine	Kiew
Ungarn	Budapest
Uruguay	Montevideo
Usbekistan	Taschkent
Vanuatu	Port Vila
Vatikanstaat	Vatikanstadt
Venezuela	Caracas
Vereinigte Arabische Emirate	Abu Dhabi
Vereinigte Staaten von Amerika	Washington
Vereinigtes Königreich	London
Vietnam	Hanoi
Weißrussland	Minsk
Westsahara	El Aaiun
Zentralafrikanische Republik	Bangui
Zypern	Nikosia
